Uke,År,Lokalitetsnummer,Lokalitetsnavn,Tiltak,Type behandling,Virkestoff,ArtsId,Rensefisk,Antall,Omfang,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,ProduksjonsområdeId,Produksjonsområde,Antall merder
33,2020,37797,Skjortneset II,ikke-medikamentell,,,,,,hele lokaliteten,1578,FJORD,15,Møre og Romsdal,62.379368,6.889433,5,Stadt til Hustadvika,
33,2020,11640,Skorpeosen,ikke-medikamentell,,,,,,deler av lokaliteten,4626,ØYGARDEN,46,Vestland,60.332466,4.9421,3,Karmøy til Sotra,
33,2020,26155,Slåttholmen,ikke-medikamentell,,,,,,deler av lokaliteten,5055,HEIM,50,Trøndelag,63.44779,8.958173,6,Nordmøre og Sør-Trøndelag,
33,2020,29356,Smineset N,ikke-medikamentell,,,,,,hele lokaliteten,5007,NAMSOS,50,Trøndelag,64.75597,11.54245,7,Nord-Trøndelag med Bindal,
33,2020,11605,Soløy Ø,ikke-medikamentell,,,,,,deler av lokaliteten,4615,FITJAR,46,Vestland,59.90708,5.159833,3,Karmøy til Sotra,
33,2020,13291,Soløya,ikke-medikamentell,,,,,,hele lokaliteten,1859,FLAKSTAD,18,Nordland,68.00442,13.181417,9,Vestfjorden og Vesterålen,
33,2020,27436,Solværet,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,1573,SMØLA,15,Møre og Romsdal,63.255,7.856933,6,Nordmøre og Sør-Trøndelag,
33,2020,28896,Stangholmen,ikke-medikamentell,,,,,,deler av lokaliteten,1836,RØDØY,18,Nordland,66.61802,12.954667,8,Helgeland til Bodø,
33,2020,11492,Storevikholmen,ikke-medikamentell,,,,,,deler av lokaliteten,4615,FITJAR,46,Vestland,59.83808,5.30565,3,Karmøy til Sotra,
33,2020,22335,Storvika,medikamentell,badebehandling,Deltamethrin,,,,hele lokaliteten,1579,HUSTADVIKA,15,Møre og Romsdal,62.8021,6.977733,5,Stadt til Hustadvika,
33,2020,13196,Syltøy,ikke-medikamentell,,,,,,deler av lokaliteten,4626,ØYGARDEN,46,Vestland,60.3046,4.96645,3,Karmøy til Sotra,
33,2020,10309,Syrtangen,ikke-medikamentell,,,,,,deler av lokaliteten,4626,ØYGARDEN,46,Vestland,60.46773,4.968667,4,Nordhordaland til Stadt,
33,2020,29776,Teksmona,ikke-medikamentell,,,,,,deler av lokaliteten,1837,MELØY,18,Nordland,66.868416,13.601383,8,Helgeland til Bodø,
33,2020,11351,Trollvika,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,5412,TJELDSUND,54,Troms og Finnmark,68.71725,17.022217,10,Andøya til Senja,
33,2020,11351,Trollvika,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,5412,TJELDSUND,54,Troms og Finnmark,68.71725,17.022217,10,Andøya til Senja,
33,2020,11351,Trollvika,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,5412,TJELDSUND,54,Troms og Finnmark,68.71725,17.022217,10,Andøya til Senja,
33,2020,11351,Trollvika,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,5412,TJELDSUND,54,Troms og Finnmark,68.71725,17.022217,10,Andøya til Senja,
