County,Sex,Age,Age_num,County_code,County_name,Year,Population
F-15 Møre og Romsdal,F,104 years,104,F-15,Møre og Romsdal,2015,2
F-15 Møre og Romsdal,F,105 years or older,105,F-15,Møre og Romsdal,2015,2
F-15 Møre og Romsdal,M,0 years,0,F-15,Møre og Romsdal,2015,1435
F-15 Møre og Romsdal,M,1 year,1,F-15,Møre og Romsdal,2015,1461
F-15 Møre og Romsdal,M,2 years,2,F-15,Møre og Romsdal,2015,1527
F-15 Møre og Romsdal,M,3 years,3,F-15,Møre og Romsdal,2015,1574
F-15 Møre og Romsdal,M,4 years,4,F-15,Møre og Romsdal,2015,1549
F-15 Møre og Romsdal,M,5 years,5,F-15,Møre og Romsdal,2015,1719
F-15 Møre og Romsdal,M,6 years,6,F-15,Møre og Romsdal,2015,1595
F-15 Møre og Romsdal,M,7 years,7,F-15,Møre og Romsdal,2015,1660
F-15 Møre og Romsdal,M,8 years,8,F-15,Møre og Romsdal,2015,1564
F-15 Møre og Romsdal,M,9 years,9,F-15,Møre og Romsdal,2015,1605
F-15 Møre og Romsdal,M,10 years,10,F-15,Møre og Romsdal,2015,1696
F-15 Møre og Romsdal,M,11 years,11,F-15,Møre og Romsdal,2015,1688
F-15 Møre og Romsdal,M,12 years,12,F-15,Møre og Romsdal,2015,1575
F-15 Møre og Romsdal,M,13 years,13,F-15,Møre og Romsdal,2015,1698
F-15 Møre og Romsdal,M,14 years,14,F-15,Møre og Romsdal,2015,1770
F-15 Møre og Romsdal,M,15 years,15,F-15,Møre og Romsdal,2015,1767
F-15 Møre og Romsdal,M,16 years,16,F-15,Møre og Romsdal,2015,1767
F-15 Møre og Romsdal,M,17 years,17,F-15,Møre og Romsdal,2015,1783
F-15 Møre og Romsdal,M,18 years,18,F-15,Møre og Romsdal,2015,1863
F-15 Møre og Romsdal,M,19 years,19,F-15,Møre og Romsdal,2015,1837
F-15 Møre og Romsdal,M,20 years,20,F-15,Møre og Romsdal,2015,1808
F-15 Møre og Romsdal,M,21 years,21,F-15,Møre og Romsdal,2015,1768
F-15 Møre og Romsdal,M,22 years,22,F-15,Møre og Romsdal,2015,1684
F-15 Møre og Romsdal,M,23 years,23,F-15,Møre og Romsdal,2015,1798
F-15 Møre og Romsdal,M,24 years,24,F-15,Møre og Romsdal,2015,1775
F-15 Møre og Romsdal,M,25 years,25,F-15,Møre og Romsdal,2015,1737
F-15 Møre og Romsdal,M,26 years,26,F-15,Møre og Romsdal,2015,1696
F-15 Møre og Romsdal,M,27 years,27,F-15,Møre og Romsdal,2015,1628
F-15 Møre og Romsdal,M,28 years,28,F-15,Møre og Romsdal,2015,1729
F-15 Møre og Romsdal,M,29 years,29,F-15,Møre og Romsdal,2015,1643
F-15 Møre og Romsdal,M,30 years,30,F-15,Møre og Romsdal,2015,1728
F-15 Møre og Romsdal,M,31 years,31,F-15,Møre og Romsdal,2015,1739
F-15 Møre og Romsdal,M,32 years,32,F-15,Møre og Romsdal,2015,1695
F-15 Møre og Romsdal,M,33 years,33,F-15,Møre og Romsdal,2015,1652
F-15 Møre og Romsdal,M,34 years,34,F-15,Møre og Romsdal,2015,1701
F-15 Møre og Romsdal,M,35 years,35,F-15,Møre og Romsdal,2015,1734
F-15 Møre og Romsdal,M,36 years,36,F-15,Møre og Romsdal,2015,1586
F-15 Møre og Romsdal,M,37 years,37,F-15,Møre og Romsdal,2015,1599
F-15 Møre og Romsdal,M,38 years,38,F-15,Møre og Romsdal,2015,1663
F-15 Møre og Romsdal,M,39 years,39,F-15,Møre og Romsdal,2015,1616
F-15 Møre og Romsdal,M,40 years,40,F-15,Møre og Romsdal,2015,1818
F-15 Møre og Romsdal,M,41 years,41,F-15,Møre og Romsdal,2015,1901
F-15 Møre og Romsdal,M,42 years,42,F-15,Møre og Romsdal,2015,1918
F-15 Møre og Romsdal,M,43 years,43,F-15,Møre og Romsdal,2015,1910
F-15 Møre og Romsdal,M,44 years,44,F-15,Møre og Romsdal,2015,1922
F-15 Møre og Romsdal,M,45 years,45,F-15,Møre og Romsdal,2015,1962
F-15 Møre og Romsdal,M,46 years,46,F-15,Møre og Romsdal,2015,2000
F-15 Møre og Romsdal,M,47 years,47,F-15,Møre og Romsdal,2015,1980
F-15 Møre og Romsdal,M,48 years,48,F-15,Møre og Romsdal,2015,1832
F-15 Møre og Romsdal,M,49 years,49,F-15,Møre og Romsdal,2015,1833
F-15 Møre og Romsdal,M,50 years,50,F-15,Møre og Romsdal,2015,1764
F-15 Møre og Romsdal,M,51 years,51,F-15,Møre og Romsdal,2015,1761
F-15 Møre og Romsdal,M,52 years,52,F-15,Møre og Romsdal,2015,1738
F-15 Møre og Romsdal,M,53 years,53,F-15,Møre og Romsdal,2015,1695
F-15 Møre og Romsdal,M,54 years,54,F-15,Møre og Romsdal,2015,1672
F-15 Møre og Romsdal,M,55 years,55,F-15,Møre og Romsdal,2015,1757
F-15 Møre og Romsdal,M,56 years,56,F-15,Møre og Romsdal,2015,1789
F-15 Møre og Romsdal,M,57 years,57,F-15,Møre og Romsdal,2015,1732
F-15 Møre og Romsdal,M,58 years,58,F-15,Møre og Romsdal,2015,1770
F-15 Møre og Romsdal,M,59 years,59,F-15,Møre og Romsdal,2015,1715
F-15 Møre og Romsdal,M,60 years,60,F-15,Møre og Romsdal,2015,1720
F-15 Møre og Romsdal,M,61 years,61,F-15,Møre og Romsdal,2015,1634
F-15 Møre og Romsdal,M,62 years,62,F-15,Møre og Romsdal,2015,1709
F-15 Møre og Romsdal,M,63 years,63,F-15,Møre og Romsdal,2015,1661
F-15 Møre og Romsdal,M,64 years,64,F-15,Møre og Romsdal,2015,1511
F-15 Møre og Romsdal,M,65 years,65,F-15,Møre og Romsdal,2015,1582
F-15 Møre og Romsdal,M,66 years,66,F-15,Møre og Romsdal,2015,1621
F-15 Møre og Romsdal,M,67 years,67,F-15,Møre og Romsdal,2015,1503
F-15 Møre og Romsdal,M,68 years,68,F-15,Møre og Romsdal,2015,1535
F-15 Møre og Romsdal,M,69 years,69,F-15,Møre og Romsdal,2015,1433
F-15 Møre og Romsdal,M,70 years,70,F-15,Møre og Romsdal,2015,1277
F-15 Møre og Romsdal,M,71 years,71,F-15,Møre og Romsdal,2015,1159
F-15 Møre og Romsdal,M,72 years,72,F-15,Møre og Romsdal,2015,998
F-15 Møre og Romsdal,M,73 years,73,F-15,Møre og Romsdal,2015,873
F-15 Møre og Romsdal,M,74 years,74,F-15,Møre og Romsdal,2015,909
F-15 Møre og Romsdal,M,75 years,75,F-15,Møre og Romsdal,2015,850
F-15 Møre og Romsdal,M,76 years,76,F-15,Møre og Romsdal,2015,707
F-15 Møre og Romsdal,M,77 years,77,F-15,Møre og Romsdal,2015,658
F-15 Møre og Romsdal,M,78 years,78,F-15,Møre og Romsdal,2015,630
F-15 Møre og Romsdal,M,79 years,79,F-15,Møre og Romsdal,2015,626
F-15 Møre og Romsdal,M,80 years,80,F-15,Møre og Romsdal,2015,593
F-15 Møre og Romsdal,M,81 years,81,F-15,Møre og Romsdal,2015,500
F-15 Møre og Romsdal,M,82 years,82,F-15,Møre og Romsdal,2015,563
F-15 Møre og Romsdal,M,83 years,83,F-15,Møre og Romsdal,2015,513
F-15 Møre og Romsdal,M,84 years,84,F-15,Møre og Romsdal,2015,449
F-15 Møre og Romsdal,M,85 years,85,F-15,Møre og Romsdal,2015,405
F-15 Møre og Romsdal,M,86 years,86,F-15,Møre og Romsdal,2015,388
F-15 Møre og Romsdal,M,87 years,87,F-15,Møre og Romsdal,2015,282
F-15 Møre og Romsdal,M,88 years,88,F-15,Møre og Romsdal,2015,273
F-15 Møre og Romsdal,M,89 years,89,F-15,Møre og Romsdal,2015,236
F-15 Møre og Romsdal,M,90 years,90,F-15,Møre og Romsdal,2015,188
F-15 Møre og Romsdal,M,91 years,91,F-15,Møre og Romsdal,2015,147
F-15 Møre og Romsdal,M,92 years,92,F-15,Møre og Romsdal,2015,129
F-15 Møre og Romsdal,M,93 years,93,F-15,Møre og Romsdal,2015,81
F-15 Møre og Romsdal,M,94 years,94,F-15,Møre og Romsdal,2015,68
F-15 Møre og Romsdal,M,95 years,95,F-15,Møre og Romsdal,2015,43
F-15 Møre og Romsdal,M,96 years,96,F-15,Møre og Romsdal,2015,28
F-15 Møre og Romsdal,M,97 years,97,F-15,Møre og Romsdal,2015,22
F-15 Møre og Romsdal,M,98 years,98,F-15,Møre og Romsdal,2015,9
F-15 Møre og Romsdal,M,99 years,99,F-15,Møre og Romsdal,2015,4
F-15 Møre og Romsdal,M,100 years,100,F-15,Møre og Romsdal,2015,4
F-15 Møre og Romsdal,M,101 years,101,F-15,Møre og Romsdal,2015,3
F-15 Møre og Romsdal,M,102 years,102,F-15,Møre og Romsdal,2015,0
F-15 Møre og Romsdal,M,103 years,103,F-15,Møre og Romsdal,2015,1
F-15 Møre og Romsdal,M,104 years,104,F-15,Møre og Romsdal,2015,0
F-15 Møre og Romsdal,M,105 years or older,105,F-15,Møre og Romsdal,2015,0
F-50 Trøndelag - Trööndelage,F,0 years,0,F-50,Trøndelag,2015,2545
F-50 Trøndelag - Trööndelage,F,1 year,1,F-50,Trøndelag,2015,2568
F-50 Trøndelag - Trööndelage,F,2 years,2,F-50,Trøndelag,2015,2553
F-50 Trøndelag - Trööndelage,F,3 years,3,F-50,Trøndelag,2015,2562
F-50 Trøndelag - Trööndelage,F,4 years,4,F-50,Trøndelag,2015,2746
F-50 Trøndelag - Trööndelage,F,5 years,5,F-50,Trøndelag,2015,2681
F-50 Trøndelag - Trööndelage,F,6 years,6,F-50,Trøndelag,2015,2664
