measure,region,offencegroup,year,value,measurecode
Offences reported,Trøndelag,Violenceandmaltreatment,2019,2603.0,offence_count
Offences reported,Trøndelag,Violenceandmaltreatment,2020,2684.0,offence_count
Offences reported,Trøndelag,Violenceandmaltreatment,2021,2800.0,offence_count
Offences reported,Trøndelag,Violenceandmaltreatment,2022,2986.0,offence_count
Offences reported,Trøndelag,Violenceandmaltreatment,2023,3013.0,offence_count
Offences reported,Trøndelag,Violenceandmaltreatment,2024,3490.0,offence_count
Offences reported,Trøndelag,Violenceandmaltreatment,2025,3543.0,offence_count
Offences reported per 1000 population,Total,Allgroupsofoffences,2016,64.5,rate_per_1000
Offences reported per 1000 population,Total,Allgroupsofoffences,2017,60.6,rate_per_1000
Offences reported per 1000 population,Total,Allgroupsofoffences,2018,60.0,rate_per_1000
Offences reported per 1000 population,Total,Allgroupsofoffences,2019,58.2,rate_per_1000
Offences reported per 1000 population,Total,Allgroupsofoffences,2020,56.0,rate_per_1000
Offences reported per 1000 population,Total,Allgroupsofoffences,2021,51.7,rate_per_1000
Offences reported per 1000 population,Total,Allgroupsofoffences,2022,56.1,rate_per_1000
Offences reported per 1000 population,Total,Allgroupsofoffences,2023,59.8,rate_per_1000
Offences reported per 1000 population,Total,Allgroupsofoffences,2024,61.5,rate_per_1000
Offences reported per 1000 population,Total,Allgroupsofoffences,2025,62.3,rate_per_1000
Offences reported per 1000 population,Total,Criminaldamage,2016,3.3,rate_per_1000
Offences reported per 1000 population,Total,Criminaldamage,2017,3.3,rate_per_1000
Offences reported per 1000 population,Total,Criminaldamage,2018,3.3,rate_per_1000
Offences reported per 1000 population,Total,Criminaldamage,2019,3.3,rate_per_1000
Offences reported per 1000 population,Total,Criminaldamage,2020,4.0,rate_per_1000
Offences reported per 1000 population,Total,Criminaldamage,2021,3.7,rate_per_1000
Offences reported per 1000 population,Total,Criminaldamage,2022,3.6,rate_per_1000
Offences reported per 1000 population,Total,Criminaldamage,2023,4.1,rate_per_1000
Offences reported per 1000 population,Total,Criminaldamage,2024,4.0,rate_per_1000
Offences reported per 1000 population,Total,Criminaldamage,2025,4.3,rate_per_1000
Offences reported per 1000 population,Total,Drugandalcoholoffences,2016,9.6,rate_per_1000
Offences reported per 1000 population,Total,Drugandalcoholoffences,2017,8.9,rate_per_1000
Offences reported per 1000 population,Total,Drugandalcoholoffences,2018,8.6,rate_per_1000
Offences reported per 1000 population,Total,Drugandalcoholoffences,2019,7.9,rate_per_1000
Offences reported per 1000 population,Total,Drugandalcoholoffences,2020,7.4,rate_per_1000
Offences reported per 1000 population,Total,Drugandalcoholoffences,2021,5.6,rate_per_1000
Offences reported per 1000 population,Total,Drugandalcoholoffences,2022,5.4,rate_per_1000
Offences reported per 1000 population,Total,Drugandalcoholoffences,2023,5.4,rate_per_1000
Offences reported per 1000 population,Total,Drugandalcoholoffences,2024,5.5,rate_per_1000
Offences reported per 1000 population,Total,Drugandalcoholoffences,2025,5.1,rate_per_1000
Offences reported per 1000 population,Total,Otheroffences,2016,0.9,rate_per_1000
Offences reported per 1000 population,Total,Otheroffences,2017,0.9,rate_per_1000
Offences reported per 1000 population,Total,Otheroffences,2018,0.8,rate_per_1000
Offences reported per 1000 population,Total,Otheroffences,2019,0.8,rate_per_1000
Offences reported per 1000 population,Total,Otheroffences,2020,1.0,rate_per_1000
Offences reported per 1000 population,Total,Otheroffences,2021,1.5,rate_per_1000
Offences reported per 1000 population,Total,Otheroffences,2022,1.0,rate_per_1000
Offences reported per 1000 population,Total,Otheroffences,2023,0.9,rate_per_1000
Offences reported per 1000 population,Total,Otheroffences,2024,0.9,rate_per_1000
Offences reported per 1000 population,Total,Otheroffences,2025,0.9,rate_per_1000
Offences reported per 1000 population,Total,Otheroffencesforprofit,2016,6.0,rate_per_1000
Offences reported per 1000 population,Total,Otheroffencesforprofit,2017,5.5,rate_per_1000
Offences reported per 1000 population,Total,Otheroffencesforprofit,2018,5.8,rate_per_1000
Offences reported per 1000 population,Total,Otheroffencesforprofit,2019,5.4,rate_per_1000
Offences reported per 1000 population,Total,Otheroffencesforprofit,2020,4.9,rate_per_1000
Offences reported per 1000 population,Total,Otheroffencesforprofit,2021,4.6,rate_per_1000
Offences reported per 1000 population,Total,Otheroffencesforprofit,2022,5.3,rate_per_1000
Offences reported per 1000 population,Total,Otheroffencesforprofit,2023,6.0,rate_per_1000
Offences reported per 1000 population,Total,Otheroffencesforprofit,2024,6.6,rate_per_1000
Offences reported per 1000 population,Total,Otheroffencesforprofit,2025,7.0,rate_per_1000
Offences reported per 1000 population,Total,Propertytheft,2016,20.2,rate_per_1000
Offences reported per 1000 population,Total,Propertytheft,2017,18.0,rate_per_1000
Offences reported per 1000 population,Total,Propertytheft,2018,17.5,rate_per_1000
Offences reported per 1000 population,Total,Propertytheft,2019,17.8,rate_per_1000
Offences reported per 1000 population,Total,Propertytheft,2020,16.2,rate_per_1000
Offences reported per 1000 population,Total,Propertytheft,2021,14.7,rate_per_1000
Offences reported per 1000 population,Total,Propertytheft,2022,18.4,rate_per_1000
Offences reported per 1000 population,Total,Propertytheft,2023,20.3,rate_per_1000
Offences reported per 1000 population,Total,Propertytheft,2024,21.1,rate_per_1000
Offences reported per 1000 population,Total,Propertytheft,2025,20.8,rate_per_1000
Offences reported per 1000 population,Total,Publicorderandintegrityviolations,2016,7.0,rate_per_1000
Offences reported per 1000 population,Total,Publicorderandintegrityviolations,2017,6.7,rate_per_1000
Offences reported per 1000 population,Total,Publicorderandintegrityviolations,2018,6.9,rate_per_1000
Offences reported per 1000 population,Total,Publicorderandintegrityviolations,2019,6.4,rate_per_1000
Offences reported per 1000 population,Total,Publicorderandintegrityviolations,2020,5.9,rate_per_1000
Offences reported per 1000 population,Total,Publicorderandintegrityviolations,2021,5.4,rate_per_1000
Offences reported per 1000 population,Total,Publicorderandintegrityviolations,2022,5.7,rate_per_1000
Offences reported per 1000 population,Total,Publicorderandintegrityviolations,2023,5.7,rate_per_1000
Offences reported per 1000 population,Total,Publicorderandintegrityviolations,2024,6.1,rate_per_1000
Offences reported per 1000 population,Total,Publicorderandintegrityviolations,2025,6.3,rate_per_1000
Offences reported per 1000 population,Total,Sexualoffences,2016,1.4,rate_per_1000
Offences reported per 1000 population,Total,Sexualoffences,2017,1.5,rate_per_1000
Offences reported per 1000 population,Total,Sexualoffences,2018,1.6,rate_per_1000
Offences reported per 1000 population,Total,Sexualoffences,2019,1.3,rate_per_1000
Offences reported per 1000 population,Total,Sexualoffences,2020,1.3,rate_per_1000
Offences reported per 1000 population,Total,Sexualoffences,2021,1.5,rate_per_1000
Offences reported per 1000 population,Total,Sexualoffences,2022,1.4,rate_per_1000
Offences reported per 1000 population,Total,Sexualoffences,2023,1.4,rate_per_1000
Offences reported per 1000 population,Total,Sexualoffences,2024,1.3,rate_per_1000
Offences reported per 1000 population,Total,Sexualoffences,2025,1.3,rate_per_1000
Offences reported per 1000 population,Total,Trafficoffences,2016,9.4,rate_per_1000
Offences reported per 1000 population,Total,Trafficoffences,2017,8.7,rate_per_1000
Offences reported per 1000 population,Total,Trafficoffences,2018,8.5,rate_per_1000
Offences reported per 1000 population,Total,Trafficoffences,2019,8.1,rate_per_1000
Offences reported per 1000 population,Total,Trafficoffences,2020,8.5,rate_per_1000
Offences reported per 1000 population,Total,Trafficoffences,2021,8.0,rate_per_1000
Offences reported per 1000 population,Total,Trafficoffences,2022,8.1,rate_per_1000
Offences reported per 1000 population,Total,Trafficoffences,2023,8.0,rate_per_1000
Offences reported per 1000 population,Total,Trafficoffences,2024,7.9,rate_per_1000
Offences reported per 1000 population,Total,Trafficoffences,2025,8.1,rate_per_1000
Offences reported per 1000 population,Total,Violenceandmaltreatment,2016,6.7,rate_per_1000
Offences reported per 1000 population,Total,Violenceandmaltreatment,2017,7.0,rate_per_1000
Offences reported per 1000 population,Total,Violenceandmaltreatment,2018,7.1,rate_per_1000
Offences reported per 1000 population,Total,Violenceandmaltreatment,2019,7.1,rate_per_1000
Offences reported per 1000 population,Total,Violenceandmaltreatment,2020,6.9,rate_per_1000
Offences reported per 1000 population,Total,Violenceandmaltreatment,2021,6.7,rate_per_1000
Offences reported per 1000 population,Total,Violenceandmaltreatment,2022,7.3,rate_per_1000
Offences reported per 1000 population,Total,Violenceandmaltreatment,2023,7.8,rate_per_1000
Offences reported per 1000 population,Total,Violenceandmaltreatment,2024,8.2,rate_per_1000
Offences reported per 1000 population,Total,Violenceandmaltreatment,2025,8.5,rate_per_1000
Offences reported per 1000 population,Trøndelag,Allgroupsofoffences,2016,53.8,rate_per_1000
Offences reported per 1000 population,Trøndelag,Allgroupsofoffences,2017,53.9,rate_per_1000
Offences reported per 1000 population,Trøndelag,Allgroupsofoffences,2018,51.2,rate_per_1000
Offences reported per 1000 population,Trøndelag,Allgroupsofoffences,2019,49.8,rate_per_1000
Offences reported per 1000 population,Trøndelag,Allgroupsofoffences,2020,49.8,rate_per_1000
Offences reported per 1000 population,Trøndelag,Allgroupsofoffences,2021,49.1,rate_per_1000
Offences reported per 1000 population,Trøndelag,Allgroupsofoffences,2022,51.9,rate_per_1000
Offences reported per 1000 population,Trøndelag,Allgroupsofoffences,2023,53.7,rate_per_1000
Offences reported per 1000 population,Trøndelag,Allgroupsofoffences,2024,58.2,rate_per_1000
Offences reported per 1000 population,Trøndelag,Allgroupsofoffences,2025,56.8,rate_per_1000
Offences reported per 1000 population,Trøndelag,Criminaldamage,2016,3.3,rate_per_1000
Offences reported per 1000 population,Trøndelag,Criminaldamage,2017,3.4,rate_per_1000
Offences reported per 1000 population,Trøndelag,Criminaldamage,2018,2.9,rate_per_1000
Offences reported per 1000 population,Trøndelag,Criminaldamage,2019,3.4,rate_per_1000
Offences reported per 1000 population,Trøndelag,Criminaldamage,2020,4.4,rate_per_1000
Offences reported per 1000 population,Trøndelag,Criminaldamage,2021,4.3,rate_per_1000
Offences reported per 1000 population,Trøndelag,Criminaldamage,2022,4.1,rate_per_1000
Offences reported per 1000 population,Trøndelag,Criminaldamage,2023,4.7,rate_per_1000
Offences reported per 1000 population,Trøndelag,Criminaldamage,2024,4.6,rate_per_1000
Offences reported per 1000 population,Trøndelag,Criminaldamage,2025,4.8,rate_per_1000
Offences reported per 1000 population,Trøndelag,Drugandalcoholoffences,2016,7.2,rate_per_1000
Offences reported per 1000 population,Trøndelag,Drugandalcoholoffences,2017,8.0,rate_per_1000
Offences reported per 1000 population,Trøndelag,Drugandalcoholoffences,2018,7.6,rate_per_1000
Offences reported per 1000 population,Trøndelag,Drugandalcoholoffences,2019,7.1,rate_per_1000
Offences reported per 1000 population,Trøndelag,Drugandalcoholoffences,2020,6.8,rate_per_1000
Offences reported per 1000 population,Trøndelag,Drugandalcoholoffences,2021,5.3,rate_per_1000
Offences reported per 1000 population,Trøndelag,Drugandalcoholoffences,2022,4.6,rate_per_1000
Offences reported per 1000 population,Trøndelag,Drugandalcoholoffences,2023,4.6,rate_per_1000
Offences reported per 1000 population,Trøndelag,Drugandalcoholoffences,2024,4.9,rate_per_1000
Offences reported per 1000 population,Trøndelag,Drugandalcoholoffences,2025,4.4,rate_per_1000
Offences reported per 1000 population,Trøndelag,Otheroffences,2016,0.8,rate_per_1000
Offences reported per 1000 population,Trøndelag,Otheroffences,2017,0.9,rate_per_1000
Offences reported per 1000 population,Trøndelag,Otheroffences,2018,0.8,rate_per_1000
Offences reported per 1000 population,Trøndelag,Otheroffences,2019,0.8,rate_per_1000
Offences reported per 1000 population,Trøndelag,Otheroffences,2020,0.9,rate_per_1000
Offences reported per 1000 population,Trøndelag,Otheroffences,2021,1.1,rate_per_1000
Offences reported per 1000 population,Trøndelag,Otheroffences,2022,0.8,rate_per_1000
Offences reported per 1000 population,Trøndelag,Otheroffences,2023,0.9,rate_per_1000
Offences reported per 1000 population,Trøndelag,Otheroffences,2024,1.0,rate_per_1000
Offences reported per 1000 population,Trøndelag,Otheroffences,2025,0.8,rate_per_1000
Offences reported per 1000 population,Trøndelag,Otheroffencesforprofit,2016,5.9,rate_per_1000
Offences reported per 1000 population,Trøndelag,Otheroffencesforprofit,2017,5.7,rate_per_1000
Offences reported per 1000 population,Trøndelag,Otheroffencesforprofit,2018,6.0,rate_per_1000
Offences reported per 1000 population,Trøndelag,Otheroffencesforprofit,2019,4.8,rate_per_1000
Offences reported per 1000 population,Trøndelag,Otheroffencesforprofit,2020,3.8,rate_per_1000
Offences reported per 1000 population,Trøndelag,Otheroffencesforprofit,2021,4.6,rate_per_1000
Offences reported per 1000 population,Trøndelag,Otheroffencesforprofit,2022,4.8,rate_per_1000
Offences reported per 1000 population,Trøndelag,Otheroffencesforprofit,2023,5.2,rate_per_1000
Offences reported per 1000 population,Trøndelag,Otheroffencesforprofit,2024,6.2,rate_per_1000
Offences reported per 1000 population,Trøndelag,Otheroffencesforprofit,2025,6.4,rate_per_1000
Offences reported per 1000 population,Trøndelag,Propertytheft,2016,16.0,rate_per_1000
Offences reported per 1000 population,Trøndelag,Propertytheft,2017,15.6,rate_per_1000
Offences reported per 1000 population,Trøndelag,Propertytheft,2018,14.0,rate_per_1000
Offences reported per 1000 population,Trøndelag,Propertytheft,2019,14.0,rate_per_1000
Offences reported per 1000 population,Trøndelag,Propertytheft,2020,13.7,rate_per_1000
Offences reported per 1000 population,Trøndelag,Propertytheft,2021,14.0,rate_per_1000
Offences reported per 1000 population,Trøndelag,Propertytheft,2022,16.7,rate_per_1000
Offences reported per 1000 population,Trøndelag,Propertytheft,2023,17.9,rate_per_1000
Offences reported per 1000 population,Trøndelag,Propertytheft,2024,19.6,rate_per_1000
Offences reported per 1000 population,Trøndelag,Propertytheft,2025,19.9,rate_per_1000
Offences reported per 1000 population,Trøndelag,Publicorderandintegrityviolations,2016,5.0,rate_per_1000
Offences reported per 1000 population,Trøndelag,Publicorderandintegrityviolations,2017,5.1,rate_per_1000
Offences reported per 1000 population,Trøndelag,Publicorderandintegrityviolations,2018,4.7,rate_per_1000
Offences reported per 1000 population,Trøndelag,Publicorderandintegrityviolations,2019,4.7,rate_per_1000
Offences reported per 1000 population,Trøndelag,Publicorderandintegrityviolations,2020,4.1,rate_per_1000
Offences reported per 1000 population,Trøndelag,Publicorderandintegrityviolations,2021,4.0,rate_per_1000
Offences reported per 1000 population,Trøndelag,Publicorderandintegrityviolations,2022,4.6,rate_per_1000
Offences reported per 1000 population,Trøndelag,Publicorderandintegrityviolations,2023,4.5,rate_per_1000
Offences reported per 1000 population,Trøndelag,Publicorderandintegrityviolations,2024,5.8,rate_per_1000
Offences reported per 1000 population,Trøndelag,Publicorderandintegrityviolations,2025,5.3,rate_per_1000
Offences reported per 1000 population,Trøndelag,Sexualoffences,2016,1.4,rate_per_1000
Offences reported per 1000 population,Trøndelag,Sexualoffences,2017,1.2,rate_per_1000
